Policy Number,As Of Date,AV,CSV,COI,Death Benefit,Date Of Last Withdrawal
CB-4408822,2026-08-01,48953.40,48278.40,300.25,750000,2026-07-21
WC-2201773,2025-03-01,7018.75,7018.75,481.25,1250000,
WC-2201773,2025-04-01,6531.73,6531.73,487.03,1250000,
WC-2201773,2025-05-01,6038.93,6038.93,492.80,1250000,
WC-2201773,2025-06-01,5540.35,5540.35,498.58,1250000,
WC-2201773,2025-07-01,5036.00,5036.00,504.35,1250000,
WC-2201773,2025-08-01,19525.88,19525.88,510.13,1250000,
WC-2201773,2025-09-01,19009.97,19009.97,515.90,1250000,
WC-2201773,2025-10-01,18488.30,18488.30,521.68,1250000,
WC-2201773,2025-11-01,17960.85,17960.85,527.45,1250000,
WC-2201773,2025-12-01,17427.63,17427.63,533.23,1250000,
WC-2201773,2026-01-01,16888.63,16888.63,539.00,1250000,
WC-2201773,2026-02-01,16343.85,16343.85,544.78,1250000,
WC-2201773,2026-03-01,15793.30,15793.30,550.55,1250000,
WC-2201773,2026-04-01,15236.97,15236.97,556.33,1250000,
WC-2201773,2026-05-01,14674.87,14674.87,562.10,1250000,
WC-2201773,2026-06-01,14107.00,14107.00,567.88,1250000,
WC-2201773,2026-07-01,13533.35,13533.35,573.65,1250000,
WC-2201773,2026-08-01,27953.92,27953.92,579.43,1250000,2026-07-21
AO-7745510,2025-03-01,5821.88,5821.88,328.13,750000,
AO-7745510,2025-04-01,5489.81,5489.81,332.06,750000,
AO-7745510,2025-05-01,5153.81,5153.81,336.00,750000,
AO-7745510,2025-06-01,4813.88,4813.88,339.94,750000,
AO-7745510,2025-07-01,4470.00,4470.00,343.88,750000,
AO-7745510,2025-08-01,22722.19,22722.19,347.81,750000,
AO-7745510,2025-09-01,22370.44,22370.44,351.75,750000,
AO-7745510,2025-10-01,22014.75,22014.75,355.69,750000,
AO-7745510,2025-11-01,21655.13,21655.13,359.63,750000,
AO-7745510,2025-12-01,21291.56,21291.56,363.56,750000,
AO-7745510,2026-01-01,20924.06,20924.06,367.50,750000,
AO-7745510,2026-02-01,20552.63,20552.63,371.44,750000,
AO-7745510,2026-03-01,20177.25,20177.25,375.38,750000,
AO-7745510,2026-04-01,19797.94,19797.94,379.31,750000,
AO-7745510,2026-05-01,19414.69,19414.69,383.25,750000,
AO-7745510,2026-06-01,19027.50,19027.50,387.19,750000,
AO-7745510,2026-07-01,18636.38,18636.38,391.13,750000,
AO-7745510,2026-08-01,36841.31,36841.31,395.06,750000,2026-07-21
