Policy Number,Carrier Name,As Of Date,AV,CSV,COI,Death Benefit,Loan Balance,Date Of Last Withdrawal
PL-5580933,"Pacific Life",2025-04-12,76209.75,71637.16,1267.31,3000000,0,
PL-5580933,"Pacific Life",2025-05-12,75722.01,71178.69,1280.63,3000000,0,
PL-5580933,"Pacific Life",2025-06-12,75229.19,70715.44,1293.96,3000000,0,
PL-5580933,"Pacific Life",2025-07-12,74731.31,70247.43,1307.28,3000000,0,
PL-5580933,"Pacific Life",2025-08-12,74228.34,69774.64,1320.61,3000000,0,
PL-5580933,"Pacific Life",2025-09-12,85717.33,80574.29,1333.93,3000000,0,
PL-5580933,"Pacific Life",2025-10-12,85204.21,80091.96,1347.26,3000000,0,
PL-5580933,"Pacific Life",2025-11-12,84686.03,79604.87,1360.58,3000000,0,
PL-5580933,"Pacific Life",2025-12-12,84162.76,79113.00,1373.90,3000000,0,
PL-5580933,"Pacific Life",2026-01-12,83634.43,78616.36,1387.23,3000000,0,
PL-5580933,"Pacific Life",2026-02-12,83101.02,78114.96,1400.55,3000000,0,
PL-5580933,"Pacific Life",2026-03-12,94559.55,88885.98,1413.88,3000000,0,
PL-5580933,"Pacific Life",2026-04-12,94015.99,88375.03,1427.20,3000000,0,
PL-5580933,"Pacific Life",2026-05-12,93467.36,87859.31,1440.53,3000000,0,
PL-5580933,"Pacific Life",2026-06-12,92913.65,87338.83,1453.85,3000000,0,
PL-5580933,"Pacific Life",2026-07-12,92354.86,86813.57,1467.18,3000000,0,
PL-5580933,"Pacific Life",2026-08-12,91791.00,86283.54,1480.50,3000000,0,07/12/2026
PR-2216745,"Prudential",2024-09-12,5412.72,5412.72,1211.51,2500000,0,
PR-2216745,"Prudential",2024-10-12,5295.94,5295.94,1225.26,2500000,0,
PR-2216745,"Prudential",2024-11-12,5177.84,5177.84,1239.01,2500000,0,
PR-2216745,"Prudential",2024-12-12,5058.44,5058.44,1252.76,2500000,0,
PR-2216745,"Prudential",2025-01-12,4937.72,4937.72,1266.50,2500000,0,
PR-2216745,"Prudential",2025-02-12,4815.70,4815.70,1280.25,2500000,0,
PR-2216745,"Prudential",2025-03-12,4692.36,4692.36,1294.00,2500000,0,
PR-2216745,"Prudential",2025-04-12,4567.71,4567.71,1307.75,2500000,0,
PR-2216745,"Prudential",2025-05-12,4441.75,4441.75,1321.50,2500000,0,
PR-2216745,"Prudential",2025-06-12,4314.49,4314.49,1335.25,2500000,0,
PR-2216745,"Prudential",2025-07-12,4185.91,4185.91,1349.00,2500000,0,
PR-2216745,"Prudential",2025-08-12,4056.02,4056.02,1362.75,2500000,0,
PR-2216745,"Prudential",2025-09-12,8404.58,8404.58,1376.50,2500000,0,
PR-2216745,"Prudential",2025-10-12,8272.07,8272.07,1390.25,2500000,0,
PR-2216745,"Prudential",2025-11-12,8138.24,8138.24,1404.00,2500000,0,
PR-2216745,"Prudential",2025-12-12,8003.11,8003.11,1417.75,2500000,0,
PR-2216745,"Prudential",2026-01-12,7866.67,7866.67,1431.50,2500000,0,
PR-2216745,"Prudential",2026-02-12,7728.92,7728.92,1445.25,2500000,0,
PR-2216745,"Prudential",2026-03-12,7589.85,7589.85,1459.00,2500000,0,
PR-2216745,"Prudential",2026-04-12,7449.48,7449.48,1472.75,2500000,0,
PR-2216745,"Prudential",2026-05-12,7307.80,7307.80,1486.50,2500000,0,
PR-2216745,"Prudential",2026-06-12,7164.80,7164.80,1500.25,2500000,0,
PR-2216745,"Prudential",2026-07-12,7020.50,7020.50,1514.00,2500000,0,
PR-2216745,"Prudential",2026-08-12,6874.88,6874.88,1527.75,2500000,0,07/12/2026
BH-9903471,"Brighthouse",2024-09-12,162.84,143.30,604.50,1500000,0,
BH-9903471,"Brighthouse",2024-10-12,237.57,209.06,611.36,1500000,0,
BH-9903471,"Brighthouse",2024-11-12,312.09,274.64,618.23,1500000,0,
BH-9903471,"Brighthouse",2024-12-12,386.41,340.04,625.09,1500000,0,
BH-9903471,"Brighthouse",2025-01-12,460.52,405.26,631.95,1500000,0,
BH-9903471,"Brighthouse",2025-02-12,534.43,470.30,638.81,1500000,0,
BH-9903471,"Brighthouse",2025-03-12,608.13,535.16,645.67,1500000,0,
BH-9903471,"Brighthouse",2025-04-12,681.63,599.83,652.53,1500000,0,
BH-9903471,"Brighthouse",2025-05-12,754.91,664.32,659.39,1500000,0,
BH-9903471,"Brighthouse",2025-06-12,828.00,728.64,666.25,1500000,0,
BH-9903471,"Brighthouse",2025-07-12,900.87,792.77,673.11,1500000,0,
BH-9903471,"Brighthouse",2025-08-12,973.54,856.72,679.97,1500000,0,
BH-9903471,"Brighthouse",2025-09-12,1046.01,920.49,686.83,1500000,0,
BH-9903471,"Brighthouse",2025-10-12,1118.27,984.07,693.69,1500000,0,
BH-9903471,"Brighthouse",2025-11-12,1190.32,1047.48,700.55,1500000,0,
BH-9903471,"Brighthouse",2025-12-12,1262.17,1110.71,707.41,1500000,0,
BH-9903471,"Brighthouse",2026-01-12,1333.81,1173.75,714.28,1500000,0,
BH-9903471,"Brighthouse",2026-02-12,1405.24,1236.61,721.14,1500000,0,
BH-9903471,"Brighthouse",2026-03-12,1476.47,1299.29,728.00,1500000,0,
BH-9903471,"Brighthouse",2026-04-12,1547.49,1361.79,734.86,1500000,0,
BH-9903471,"Brighthouse",2026-05-12,1618.31,1424.11,741.72,1500000,0,
BH-9903471,"Brighthouse",2026-06-12,1688.92,1486.25,748.58,1500000,0,
BH-9903471,"Brighthouse",2026-07-12,1759.32,1548.20,755.44,1500000,0,
BH-9903471,"Brighthouse",2026-08-12,1829.52,1609.98,762.30,1500000,0,07/12/2026
MM-4408126,"MassMutual",2024-09-12,89379.17,85804.00,1425.50,4000000,0,
MM-4408126,"MassMutual",2024-10-12,88807.51,85255.21,1441.68,4000000,0,
MM-4408126,"MassMutual",2024-11-12,88229.44,84700.27,1457.85,4000000,0,
MM-4408126,"MassMutual",2024-12-12,95476.26,91657.21,1474.03,4000000,0,
MM-4408126,"MassMutual",2025-01-12,94885.36,91089.95,1490.21,4000000,0,
MM-4408126,"MassMutual",2025-02-12,94288.04,90516.52,1506.39,4000000,0,
MM-4408126,"MassMutual",2025-03-12,101515.62,97454.99,1522.57,4000000,0,
MM-4408126,"MassMutual",2025-04-12,100905.47,96869.25,1538.75,4000000,0,
MM-4408126,"MassMutual",2025-05-12,100288.91,96277.35,1554.92,4000000,0,
MM-4408126,"MassMutual",2025-06-12,107497.24,103197.35,1571.10,4000000,0,
MM-4408126,"MassMutual",2025-07-12,106867.85,102593.13,1587.28,4000000,0,
MM-4408126,"MassMutual",2025-08-12,106232.04,101982.76,1603.46,4000000,0,
MM-4408126,"MassMutual",2025-09-12,113421.12,108884.28,1619.64,4000000,0,
MM-4408126,"MassMutual",2025-10-12,112772.48,108261.59,1635.82,4000000,0,
MM-4408126,"MassMutual",2025-11-12,112117.43,107632.74,1651.99,4000000,0,
MM-4408126,"MassMutual",2025-12-12,119287.27,114515.78,1668.17,4000000,0,
MM-4408126,"MassMutual",2026-01-12,118619.39,113874.61,1684.35,4000000,0,
MM-4408126,"MassMutual",2026-02-12,117945.09,113227.29,1700.53,4000000,0,
MM-4408126,"MassMutual",2026-03-12,125095.68,120091.86,1716.71,4000000,0,
MM-4408126,"MassMutual",2026-04-12,124408.56,119432.21,1732.89,4000000,0,
MM-4408126,"MassMutual",2026-05-12,123715.01,118766.41,1749.06,4000000,0,
MM-4408126,"MassMutual",2026-06-12,130846.36,125612.51,1765.24,4000000,0,
MM-4408126,"MassMutual",2026-07-12,130139.99,124934.39,1781.42,4000000,0,
MM-4408126,"MassMutual",2026-08-12,129427.20,124250.11,1797.60,4000000,0,07/12/2026
NY-1187602,"New York Life",2024-09-12,60719.00,60111.81,461.29,1000000,0,
NY-1187602,"New York Life",2024-10-12,60500.50,59895.49,466.52,1000000,0,
NY-1187602,"New York Life",2024-11-12,60279.54,59676.75,471.76,1000000,0,
NY-1187602,"New York Life",2024-12-12,60056.13,59455.57,476.99,1000000,0,
NY-1187602,"New York Life",2025-01-12,59830.28,59231.97,482.23,1000000,0,
NY-1187602,"New York Life",2025-02-12,59601.97,59005.95,487.46,1000000,0,
NY-1187602,"New York Life",2025-03-12,59371.20,58777.49,492.70,1000000,0,
NY-1187602,"New York Life",2025-04-12,59137.99,58546.61,497.94,1000000,0,
NY-1187602,"New York Life",2025-05-12,58902.32,58313.30,503.17,1000000,0,
NY-1187602,"New York Life",2025-06-12,58664.20,58077.56,508.41,1000000,0,
NY-1187602,"New York Life",2025-07-12,58423.63,57839.40,513.64,1000000,0,
NY-1187602,"New York Life",2025-08-12,58180.61,57598.80,518.88,1000000,0,
NY-1187602,"New York Life",2025-09-12,69175.86,68484.10,524.11,1000000,0,
NY-1187602,"New York Life",2025-10-12,68927.93,68238.65,529.35,1000000,0,
NY-1187602,"New York Life",2025-11-12,68677.55,67990.77,534.58,1000000,0,
NY-1187602,"New York Life",2025-12-12,68424.72,67740.47,539.82,1000000,0,
NY-1187602,"New York Life",2026-01-12,68169.44,67487.74,545.05,1000000,0,
NY-1187602,"New York Life",2026-02-12,67911.70,67232.58,550.29,1000000,0,
NY-1187602,"New York Life",2026-03-12,67651.51,66975.00,555.52,1000000,0,
NY-1187602,"New York Life",2026-04-12,67388.88,66714.99,560.76,1000000,0,
NY-1187602,"New York Life",2026-05-12,67123.78,66452.55,565.99,1000000,0,
NY-1187602,"New York Life",2026-06-12,66856.24,66187.68,571.23,1000000,0,
NY-1187602,"New York Life",2026-07-12,66586.25,65920.38,576.46,1000000,0,
NY-1187602,"New York Life",2026-08-12,66313.80,65650.66,581.70,1000000,0,07/12/2026
AX-6624019,"AXA / Equitable",2024-09-12,131240.19,131240.19,2487.96,6000000,0,
AX-6624019,"AXA / Equitable",2024-10-12,130227.00,130227.00,2516.19,6000000,0,
AX-6624019,"AXA / Equitable",2024-11-12,129202.43,129202.43,2544.43,6000000,0,
AX-6624019,"AXA / Equitable",2024-12-12,128166.49,128166.49,2572.67,6000000,0,
AX-6624019,"AXA / Equitable",2025-01-12,127119.19,127119.19,2600.90,6000000,0,
AX-6624019,"AXA / Equitable",2025-02-12,126060.51,126060.51,2629.14,6000000,0,
AX-6624019,"AXA / Equitable",2025-03-12,124990.46,124990.46,2657.38,6000000,0,
AX-6624019,"AXA / Equitable",2025-04-12,123909.04,123909.04,2685.61,6000000,0,
AX-6624019,"AXA / Equitable",2025-05-12,122816.26,122816.26,2713.85,6000000,0,
AX-6624019,"AXA / Equitable",2025-06-12,121712.10,121712.10,2742.09,6000000,0,
AX-6624019,"AXA / Equitable",2025-07-12,120596.57,120596.57,2770.32,6000000,0,
AX-6624019,"AXA / Equitable",2025-08-12,119469.68,119469.68,2798.56,6000000,0,
AX-6624019,"AXA / Equitable",2025-09-12,157591.76,157591.76,2826.80,6000000,0,
AX-6624019,"AXA / Equitable",2025-10-12,156442.13,156442.13,2855.03,6000000,0,
AX-6624019,"AXA / Equitable",2025-11-12,155281.12,155281.12,2883.27,6000000,0,
AX-6624019,"AXA / Equitable",2025-12-12,154108.74,154108.74,2911.51,6000000,0,
AX-6624019,"AXA / Equitable",2026-01-12,152924.99,152924.99,2939.74,6000000,0,
AX-6624019,"AXA / Equitable",2026-02-12,151729.88,151729.88,2967.98,6000000,0,
AX-6624019,"AXA / Equitable",2026-03-12,150523.39,150523.39,2996.22,6000000,0,
AX-6624019,"AXA / Equitable",2026-04-12,149305.53,149305.53,3024.45,6000000,0,
AX-6624019,"AXA / Equitable",2026-05-12,148076.30,148076.30,3052.69,6000000,0,
AX-6624019,"AXA / Equitable",2026-06-12,146835.71,146835.71,3080.93,6000000,0,
AX-6624019,"AXA / Equitable",2026-07-12,145583.74,145583.74,3109.16,6000000,0,
AX-6624019,"AXA / Equitable",2026-08-12,144320.40,144320.40,3137.40,6000000,0,07/12/2026
CB-8830557,"Corebridge / AIG",2024-09-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2024-10-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2024-11-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2024-12-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2025-01-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2025-02-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2025-03-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2025-04-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2025-05-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2025-06-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2025-07-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2025-08-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2025-09-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2025-10-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2025-11-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2025-12-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2026-01-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2026-02-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2026-03-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2026-04-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2026-05-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2026-06-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2026-07-12,0.00,0.00,0.00,750000,0,
CB-8830557,"Corebridge / AIG",2026-08-12,0.00,0.00,0.00,750000,0,
GW-3345890,"Genworth",2024-09-12,4425.69,4425.69,1039.15,2000000,0,
GW-3345890,"Genworth",2024-10-12,4359.67,4359.67,1050.94,2000000,0,
GW-3345890,"Genworth",2024-11-12,4292.90,4292.90,1062.73,2000000,0,
GW-3345890,"Genworth",2024-12-12,4225.39,4225.39,1074.53,2000000,0,
GW-3345890,"Genworth",2025-01-12,4157.14,4157.14,1086.32,2000000,0,
GW-3345890,"Genworth",2025-02-12,4088.15,4088.15,1098.12,2000000,0,
GW-3345890,"Genworth",2025-03-12,4018.42,4018.42,1109.91,2000000,0,
GW-3345890,"Genworth",2025-04-12,3947.95,3947.95,1121.70,2000000,0,
GW-3345890,"Genworth",2025-05-12,3876.74,3876.74,1133.50,2000000,0,
GW-3345890,"Genworth",2025-06-12,3804.78,3804.78,1145.29,2000000,0,
GW-3345890,"Genworth",2025-07-12,3732.09,3732.09,1157.08,2000000,0,
GW-3345890,"Genworth",2025-08-12,3658.65,3658.65,1168.88,2000000,0,
GW-3345890,"Genworth",2025-09-12,7416.84,7416.84,1180.67,2000000,0,
GW-3345890,"Genworth",2025-10-12,7341.92,7341.92,1192.46,2000000,0,
GW-3345890,"Genworth",2025-11-12,7266.27,7266.27,1204.26,2000000,0,
GW-3345890,"Genworth",2025-12-12,7189.87,7189.87,1216.05,2000000,0,
GW-3345890,"Genworth",2026-01-12,7112.73,7112.73,1227.84,2000000,0,
GW-3345890,"Genworth",2026-02-12,7034.85,7034.85,1239.64,2000000,0,
GW-3345890,"Genworth",2026-03-12,6956.22,6956.22,1251.43,2000000,0,
GW-3345890,"Genworth",2026-04-12,6876.86,6876.86,1263.23,2000000,0,
GW-3345890,"Genworth",2026-05-12,6796.76,6796.76,1275.02,2000000,0,
GW-3345890,"Genworth",2026-06-12,6715.91,6715.91,1286.81,2000000,0,
GW-3345890,"Genworth",2026-07-12,6634.33,6634.33,1298.61,2000000,0,
GW-3345890,"Genworth",2026-08-12,6552.00,6552.00,1310.40,2000000,0,07/12/2026
