Policy Number,Carrier Name,Transaction Date,Transaction Type,Amount,Remarks
BH-9903471,"Brighthouse",02/28/2024,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",03/28/2024,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",04/28/2024,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",05/28/2024,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",06/28/2024,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",07/28/2024,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",08/28/2024,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",09/28/2024,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",10/28/2024,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",11/28/2024,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",12/28/2024,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",01/15/2024,Servicing,950,Annual servicing and tracking
BH-9903471,"Brighthouse",01/28/2025,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",02/28/2025,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",03/28/2025,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",04/28/2025,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",05/28/2025,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",06/28/2025,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",07/28/2025,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",08/28/2025,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",09/28/2025,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",10/28/2025,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",11/28/2025,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",12/28/2025,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",01/15/2025,Servicing,950,Annual servicing and tracking
BH-9903471,"Brighthouse",01/28/2026,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",02/28/2026,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",03/28/2026,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",04/28/2026,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",05/28/2026,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",06/28/2026,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",07/28/2026,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",08/28/2026,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",01/15/2026,Servicing,950,Annual servicing and tracking
MM-4408126,"MassMutual",05/17/2023,Acquisition Cost,690000,Policy purchase
MM-4408126,"MassMutual",05/17/2023,Fee,13800,Closing and escrow costs
MM-4408126,"MassMutual",05/17/2024,Premium Payment,19750,Quarterly premium
MM-4408126,"MassMutual",08/17/2024,Premium Payment,19750,Quarterly premium
MM-4408126,"MassMutual",11/17/2024,Premium Payment,19750,Quarterly premium
MM-4408126,"MassMutual",02/17/2024,Premium Payment,19750,Quarterly premium
MM-4408126,"MassMutual",05/15/2024,Servicing,950,Annual servicing and tracking
MM-4408126,"MassMutual",05/17/2025,Premium Payment,19750,Quarterly premium
MM-4408126,"MassMutual",08/17/2025,Premium Payment,19750,Quarterly premium
MM-4408126,"MassMutual",11/17/2025,Premium Payment,19750,Quarterly premium
MM-4408126,"MassMutual",02/17/2025,Premium Payment,19750,Quarterly premium
MM-4408126,"MassMutual",05/15/2025,Servicing,950,Annual servicing and tracking
MM-4408126,"MassMutual",05/17/2026,Premium Payment,19750,Quarterly premium
MM-4408126,"MassMutual",08/17/2026,Premium Payment,19750,Quarterly premium
MM-4408126,"MassMutual",02/17/2026,Premium Payment,19750,Quarterly premium
MM-4408126,"MassMutual",05/15/2026,Servicing,950,Annual servicing and tracking
NY-1187602,"New York Life",09/02/2020,Acquisition Cost,233000,Policy purchase
NY-1187602,"New York Life",09/02/2020,Fee,4660,Closing and escrow costs
NY-1187602,"New York Life",09/02/2021,Premium Payment,24000,Annual premium
NY-1187602,"New York Life",09/15/2021,Servicing,950,Annual servicing and tracking
NY-1187602,"New York Life",09/02/2022,Premium Payment,24000,Annual premium
NY-1187602,"New York Life",09/15/2022,Servicing,950,Annual servicing and tracking
NY-1187602,"New York Life",09/02/2023,Premium Payment,24000,Annual premium
NY-1187602,"New York Life",09/15/2023,Servicing,950,Annual servicing and tracking
NY-1187602,"New York Life",09/02/2024,Premium Payment,24000,Annual premium
NY-1187602,"New York Life",09/15/2024,Servicing,950,Annual servicing and tracking
NY-1187602,"New York Life",09/02/2025,Premium Payment,24000,Annual premium
NY-1187602,"New York Life",09/15/2025,Servicing,950,Annual servicing and tracking
NY-1187602,"New York Life",09/15/2026,Servicing,950,Annual servicing and tracking
AX-6624019,"AXA / Equitable",04/11/2017,Acquisition Cost,1210000,Policy purchase
AX-6624019,"AXA / Equitable",04/11/2017,Fee,24200,Closing and escrow costs
AX-6624019,"AXA / Equitable",04/11/2018,Premium Payment,97500,Annual premium
AX-6624019,"AXA / Equitable",04/15/2018,Servicing,950,Annual servicing and tracking
AX-6624019,"AXA / Equitable",04/11/2019,Premium Payment,97500,Annual premium
AX-6624019,"AXA / Equitable",04/15/2019,Servicing,950,Annual servicing and tracking
AX-6624019,"AXA / Equitable",04/11/2020,Premium Payment,97500,Annual premium
AX-6624019,"AXA / Equitable",04/15/2020,Servicing,950,Annual servicing and tracking
AX-6624019,"AXA / Equitable",04/11/2021,Premium Payment,97500,Annual premium
AX-6624019,"AXA / Equitable",04/15/2021,Servicing,950,Annual servicing and tracking
AX-6624019,"AXA / Equitable",04/11/2022,Premium Payment,97500,Annual premium
AX-6624019,"AXA / Equitable",04/15/2022,Servicing,950,Annual servicing and tracking
AX-6624019,"AXA / Equitable",04/11/2023,Premium Payment,97500,Annual premium
AX-6624019,"AXA / Equitable",04/15/2023,Servicing,950,Annual servicing and tracking
AX-6624019,"AXA / Equitable",04/11/2024,Premium Payment,97500,Annual premium
AX-6624019,"AXA / Equitable",04/15/2024,Servicing,950,Annual servicing and tracking
AX-6624019,"AXA / Equitable",04/11/2025,Premium Payment,97500,Annual premium
AX-6624019,"AXA / Equitable",04/15/2025,Servicing,950,Annual servicing and tracking
AX-6624019,"AXA / Equitable",04/11/2026,Premium Payment,97500,Annual premium
AX-6624019,"AXA / Equitable",04/15/2026,Servicing,950,Annual servicing and tracking
CB-8830557,"Corebridge / AIG",07/25/2024,Acquisition Cost,96000,Policy purchase
CB-8830557,"Corebridge / AIG",07/25/2024,Fee,1920,Closing and escrow costs
CB-8830557,"Corebridge / AIG",07/25/2025,Premium Payment,18900,Annual premium
CB-8830557,"Corebridge / AIG",07/15/2025,Servicing,950,Annual servicing and tracking
CB-8830557,"Corebridge / AIG",07/25/2026,Premium Payment,18900,Annual premium
CB-8830557,"Corebridge / AIG",07/15/2026,Servicing,950,Annual servicing and tracking
GW-3345890,"Genworth",02/19/2018,Acquisition Cost,430000,Policy purchase
GW-3345890,"Genworth",02/19/2018,Fee,8600,Closing and escrow costs
GW-3345890,"Genworth",02/19/2019,Premium Payment,61000,Annual premium
GW-3345890,"Genworth",02/15/2019,Servicing,950,Annual servicing and tracking
GW-3345890,"Genworth",02/19/2020,Premium Payment,61000,Annual premium
GW-3345890,"Genworth",02/15/2020,Servicing,950,Annual servicing and tracking
GW-3345890,"Genworth",02/19/2021,Premium Payment,61000,Annual premium
GW-3345890,"Genworth",02/15/2021,Servicing,950,Annual servicing and tracking
GW-3345890,"Genworth",02/19/2022,Premium Payment,61000,Annual premium
GW-3345890,"Genworth",02/15/2022,Servicing,950,Annual servicing and tracking
GW-3345890,"Genworth",02/19/2023,Premium Payment,61000,Annual premium
GW-3345890,"Genworth",02/15/2023,Servicing,950,Annual servicing and tracking
GW-3345890,"Genworth",02/19/2024,Premium Payment,61000,Annual premium
GW-3345890,"Genworth",02/15/2024,Servicing,950,Annual servicing and tracking
GW-3345890,"Genworth",02/19/2025,Premium Payment,61000,Annual premium
GW-3345890,"Genworth",02/15/2025,Servicing,950,Annual servicing and tracking
GW-3345890,"Genworth",02/19/2026,Premium Payment,61000,Annual premium
GW-3345890,"Genworth",02/15/2026,Servicing,950,Annual servicing and tracking
